entity_id,state,last_changed
sensor.153931628473058_total_energy_consumption,1356.39,2026-03-22T17:05:00.000Z
sensor.153931628473058_total_energy_consumption,1356.4,2026-03-22T17:05:13.347Z
sensor.153931628473058_total_energy_consumption,1356.41,2026-03-22T17:05:46.682Z
sensor.153931628473058_total_energy_consumption,1356.42,2026-03-22T17:06:19.806Z
sensor.153931628473058_total_energy_consumption,1356.43,2026-03-22T17:06:53.078Z
sensor.153931628473058_total_energy_consumption,1356.44,2026-03-22T17:07:26.482Z
sensor.153931628473058_total_energy_consumption,1356.45,2026-03-22T17:07:59.687Z
sensor.153931628473058_total_energy_consumption,1356.46,2026-03-22T17:08:32.810Z
sensor.153931628473058_total_energy_consumption,1356.47,2026-03-22T17:09:06.038Z
sensor.153931628473058_total_energy_consumption,1356.48,2026-03-22T17:09:39.375Z
sensor.153931628473058_total_energy_consumption,1356.5,2026-03-22T17:10:12.696Z
sensor.153931628473058_total_energy_consumption,1356.51,2026-03-22T17:10:45.885Z
sensor.153931628473058_total_energy_consumption,1356.52,2026-03-22T17:11:19.236Z
sensor.153931628473058_total_energy_consumption,1356.53,2026-03-22T17:11:53.556Z
sensor.153931628473058_total_energy_consumption,1356.54,2026-03-22T17:12:26.854Z
sensor.153931628473058_total_energy_consumption,1356.55,2026-03-22T17:13:00.188Z
sensor.153931628473058_total_energy_consumption,1356.56,2026-03-22T17:13:33.596Z
sensor.153931628473058_total_energy_consumption,1356.58,2026-03-22T17:14:07.772Z
sensor.153931628473058_total_energy_consumption,1356.59,2026-03-22T17:14:41.041Z
sensor.153931628473058_total_energy_consumption,1356.6,2026-03-22T17:15:14.357Z
sensor.153931628473058_total_energy_consumption,1356.61,2026-03-22T17:15:47.682Z
sensor.153931628473058_total_energy_consumption,1356.62,2026-03-22T17:16:20.793Z
sensor.153931628473058_total_energy_consumption,1356.63,2026-03-22T17:16:53.983Z
sensor.153931628473058_total_energy_consumption,1356.65,2026-03-22T17:17:27.276Z
sensor.153931628473058_total_energy_consumption,1356.66,2026-03-22T17:18:00.555Z
sensor.153931628473058_total_energy_consumption,1356.67,2026-03-22T17:18:33.938Z
sensor.153931628473058_total_energy_consumption,1356.68,2026-03-22T17:19:07.329Z
sensor.153931628473058_total_energy_consumption,1356.69,2026-03-22T17:19:40.523Z
sensor.153931628473058_total_energy_consumption,1356.7,2026-03-22T17:20:13.639Z
sensor.153931628473058_total_energy_consumption,1356.71,2026-03-22T17:20:46.911Z
sensor.153931628473058_total_energy_consumption,1356.73,2026-03-22T17:21:20.053Z
sensor.153931628473058_total_energy_consumption,1356.74,2026-03-22T17:21:53.226Z
sensor.153931628473058_total_energy_consumption,1356.75,2026-03-22T17:22:26.488Z
sensor.153931628473058_total_energy_consumption,1356.76,2026-03-22T17:22:59.621Z
sensor.153931628473058_total_energy_consumption,1356.77,2026-03-22T17:23:32.938Z
sensor.153931628473058_total_energy_consumption,1356.78,2026-03-22T17:24:06.242Z
sensor.153931628473058_total_energy_consumption,1356.79,2026-03-22T17:24:39.509Z
sensor.153931628473058_total_energy_consumption,1356.8,2026-03-22T17:25:12.741Z
sensor.153931628473058_total_energy_consumption,1356.82,2026-03-22T17:25:46.916Z
sensor.153931628473058_total_energy_consumption,1356.83,2026-03-22T17:26:20.213Z
sensor.153931628473058_total_energy_consumption,1356.84,2026-03-22T17:26:53.556Z
sensor.153931628473058_total_energy_consumption,1356.85,2026-03-22T17:27:26.795Z
sensor.153931628473058_total_energy_consumption,1356.86,2026-03-22T17:28:00.036Z
sensor.153931628473058_total_energy_consumption,1356.87,2026-03-22T17:28:33.318Z
sensor.153931628473058_total_energy_consumption,1356.88,2026-03-22T17:29:07.083Z
sensor.153931628473058_total_energy_consumption,1356.9,2026-03-22T17:29:40.367Z
sensor.153931628473058_total_energy_consumption,1356.91,2026-03-22T17:30:13.555Z
sensor.153931628473058_total_energy_consumption,1356.92,2026-03-22T17:30:46.780Z
sensor.153931628473058_total_energy_consumption,1356.93,2026-03-22T17:31:20.064Z
sensor.153931628473058_total_energy_consumption,1356.94,2026-03-22T17:31:53.282Z
sensor.153931628473058_total_energy_consumption,1356.95,2026-03-22T17:32:26.407Z
sensor.153931628473058_total_energy_consumption,1356.96,2026-03-22T17:32:59.741Z
sensor.153931628473058_total_energy_consumption,1356.97,2026-03-22T17:33:32.957Z
sensor.153931628473058_total_energy_consumption,1356.98,2026-03-22T17:34:06.153Z
sensor.153931628473058_total_energy_consumption,1356.99,2026-03-22T17:34:39.259Z
sensor.153931628473058_total_energy_consumption,1357.0,2026-03-22T17:35:12.461Z
