entity_id,state,last_changed
sensor.153931628473058_total_energy_consumption,1347.27,2026-03-18T22:00:00.000Z
sensor.153931628473058_total_energy_consumption,1347.29,2026-03-18T22:00:15.143Z
sensor.153931628473058_total_energy_consumption,1347.3,2026-03-18T22:00:48.321Z
sensor.153931628473058_total_energy_consumption,1347.31,2026-03-18T22:01:21.630Z
sensor.153931628473058_total_energy_consumption,1347.32,2026-03-18T22:01:54.941Z
sensor.153931628473058_total_energy_consumption,1347.33,2026-03-18T22:02:28.119Z
sensor.153931628473058_total_energy_consumption,1347.34,2026-03-18T22:03:01.384Z
sensor.153931628473058_total_energy_consumption,1347.36,2026-03-18T22:03:34.605Z
sensor.153931628473058_total_energy_consumption,1347.37,2026-03-18T22:04:07.934Z
sensor.153931628473058_total_energy_consumption,1347.38,2026-03-18T22:04:41.281Z
sensor.153931628473058_total_energy_consumption,1347.39,2026-03-18T22:05:14.531Z
sensor.153931628473058_total_energy_consumption,1347.4,2026-03-18T22:05:47.728Z
sensor.153931628473058_total_energy_consumption,1347.41,2026-03-18T22:06:21.044Z
sensor.153931628473058_total_energy_consumption,1347.42,2026-03-18T22:06:54.238Z
sensor.153931628473058_total_energy_consumption,1347.44,2026-03-18T22:07:27.417Z
sensor.153931628473058_total_energy_consumption,1347.45,2026-03-18T22:08:00.603Z
sensor.153931628473058_total_energy_consumption,1347.47,2026-03-18T22:09:07.758Z
sensor.153931628473058_total_energy_consumption,1347.48,2026-03-18T22:09:41.099Z
sensor.153931628473058_total_energy_consumption,1347.49,2026-03-18T22:10:14.293Z
sensor.153931628473058_total_energy_consumption,1347.5,2026-03-18T22:10:47.558Z
sensor.153931628473058_total_energy_consumption,1347.52,2026-03-18T22:11:20.869Z
sensor.153931628473058_total_energy_consumption,1347.53,2026-03-18T22:11:54.169Z
sensor.153931628473058_total_energy_consumption,1347.54,2026-03-18T22:12:28.419Z
sensor.153931628473058_total_energy_consumption,1347.55,2026-03-18T22:13:01.673Z
sensor.153931628473058_total_energy_consumption,1347.56,2026-03-18T22:13:34.913Z
sensor.153931628473058_total_energy_consumption,1347.57,2026-03-18T22:14:08.227Z
sensor.153931628473058_total_energy_consumption,1347.58,2026-03-18T22:14:41.363Z
sensor.153931628473058_total_energy_consumption,1347.6,2026-03-18T22:15:14.662Z
sensor.153931628473058_total_energy_consumption,1347.61,2026-03-18T22:15:48.834Z
sensor.153931628473058_total_energy_consumption,1347.62,2026-03-18T22:16:22.073Z
sensor.153931628473058_total_energy_consumption,1347.63,2026-03-18T22:16:55.344Z
sensor.153931628473058_total_energy_consumption,1347.64,2026-03-18T22:17:28.604Z
sensor.153931628473058_total_energy_consumption,1347.65,2026-03-18T22:18:01.830Z
sensor.153931628473058_total_energy_consumption,1347.66,2026-03-18T22:18:35.106Z
sensor.153931628473058_total_energy_consumption,1347.68,2026-03-18T22:19:08.382Z
sensor.153931628473058_total_energy_consumption,1347.69,2026-03-18T22:19:41.669Z
sensor.153931628473058_total_energy_consumption,1347.7,2026-03-18T22:20:14.991Z
sensor.153931628473058_total_energy_consumption,1347.71,2026-03-18T22:20:48.161Z
sensor.153931628473058_total_energy_consumption,1347.72,2026-03-18T22:21:21.475Z
sensor.153931628473058_total_energy_consumption,1347.73,2026-03-18T22:21:54.723Z
sensor.153931628473058_total_energy_consumption,1347.74,2026-03-18T22:22:27.922Z
sensor.153931628473058_total_energy_consumption,1347.76,2026-03-18T22:23:01.286Z
sensor.153931628473058_total_energy_consumption,1347.77,2026-03-18T22:23:34.628Z
sensor.153931628473058_total_energy_consumption,1347.78,2026-03-18T22:24:07.814Z
sensor.153931628473058_total_energy_consumption,1347.79,2026-03-18T22:24:41.040Z
sensor.153931628473058_total_energy_consumption,1347.8,2026-03-18T22:25:14.290Z
sensor.153931628473058_total_energy_consumption,1347.81,2026-03-18T22:25:47.577Z
sensor.153931628473058_total_energy_consumption,1347.82,2026-03-18T22:26:20.824Z
sensor.153931628473058_total_energy_consumption,1347.84,2026-03-18T22:26:54.044Z
sensor.153931628473058_total_energy_consumption,1347.85,2026-03-18T22:27:28.404Z
sensor.153931628473058_total_energy_consumption,1347.86,2026-03-18T22:28:02.194Z
sensor.153931628473058_total_energy_consumption,1347.87,2026-03-18T22:28:35.447Z
sensor.153931628473058_total_energy_consumption,1347.88,2026-03-18T22:29:08.638Z
sensor.153931628473058_total_energy_consumption,1347.89,2026-03-18T22:29:41.876Z
sensor.153931628473058_total_energy_consumption,1347.9,2026-03-18T22:30:15.285Z
sensor.153931628473058_total_energy_consumption,1347.91,2026-03-18T22:30:48.627Z
sensor.153931628473058_total_energy_consumption,1347.93,2026-03-18T22:31:21.941Z
sensor.153931628473058_total_energy_consumption,1347.94,2026-03-18T22:31:55.232Z
sensor.153931628473058_total_energy_consumption,1347.95,2026-03-18T22:32:28.475Z
sensor.153931628473058_total_energy_consumption,1347.96,2026-03-18T22:33:01.783Z
sensor.153931628473058_total_energy_consumption,1347.97,2026-03-18T22:33:35.094Z
sensor.153931628473058_total_energy_consumption,1347.98,2026-03-18T22:34:08.424Z
sensor.153931628473058_total_energy_consumption,1347.99,2026-03-18T22:34:41.696Z
sensor.153931628473058_total_energy_consumption,1348.0,2026-03-18T22:35:14.996Z
sensor.153931628473058_total_energy_consumption,1348.01,2026-03-18T22:35:48.164Z
sensor.153931628473058_total_energy_consumption,1348.03,2026-03-18T22:36:21.366Z
sensor.153931628473058_total_energy_consumption,1348.04,2026-03-18T22:36:54.544Z
sensor.153931628473058_total_energy_consumption,1348.05,2026-03-18T22:37:27.865Z
sensor.153931628473058_total_energy_consumption,1348.06,2026-03-18T22:38:01.077Z
sensor.153931628473058_total_energy_consumption,1348.07,2026-03-18T22:38:34.291Z
sensor.153931628473058_total_energy_consumption,1348.08,2026-03-18T22:39:07.551Z
sensor.153931628473058_total_energy_consumption,1348.09,2026-03-18T22:39:40.771Z
sensor.153931628473058_total_energy_consumption,1348.1,2026-03-18T22:40:14.026Z
sensor.153931628473058_total_energy_consumption,1348.11,2026-03-18T22:40:47.268Z
sensor.153931628473058_total_energy_consumption,1348.13,2026-03-18T22:41:20.564Z
sensor.153931628473058_total_energy_consumption,1348.14,2026-03-18T22:41:54.728Z
sensor.153931628473058_total_energy_consumption,1348.15,2026-03-18T22:42:28.987Z
sensor.153931628473058_total_energy_consumption,1348.16,2026-03-18T22:43:02.757Z
sensor.153931628473058_total_energy_consumption,1348.17,2026-03-18T22:43:36.092Z
sensor.153931628473058_total_energy_consumption,1348.18,2026-03-18T22:44:09.404Z
sensor.153931628473058_total_energy_consumption,1348.19,2026-03-18T22:44:42.632Z
sensor.153931628473058_total_energy_consumption,1348.21,2026-03-18T22:45:15.871Z
sensor.153931628473058_total_energy_consumption,1348.22,2026-03-18T22:45:49.159Z
sensor.153931628473058_total_energy_consumption,1348.23,2026-03-18T22:46:22.335Z
sensor.153931628473058_total_energy_consumption,1348.24,2026-03-18T22:46:55.503Z
sensor.153931628473058_total_energy_consumption,1348.25,2026-03-18T22:47:28.759Z
sensor.153931628473058_total_energy_consumption,1348.26,2026-03-18T22:48:02.111Z
sensor.153931628473058_total_energy_consumption,1348.27,2026-03-18T22:48:35.280Z
sensor.153931628473058_total_energy_consumption,1348.28,2026-03-18T22:49:08.531Z
sensor.153931628473058_total_energy_consumption,1348.29,2026-03-18T22:49:41.777Z
sensor.153931628473058_total_energy_consumption,1348.31,2026-03-18T22:50:15.037Z
sensor.153931628473058_total_energy_consumption,1348.32,2026-03-18T22:50:48.193Z
sensor.153931628473058_total_energy_consumption,1348.33,2026-03-18T22:51:21.431Z
sensor.153931628473058_total_energy_consumption,1348.34,2026-03-18T22:51:54.791Z
sensor.153931628473058_total_energy_consumption,1348.35,2026-03-18T22:52:29.236Z
sensor.153931628473058_total_energy_consumption,1348.36,2026-03-18T22:53:02.497Z
sensor.153931628473058_total_energy_consumption,1348.37,2026-03-18T22:53:36.363Z
sensor.153931628473058_total_energy_consumption,1348.38,2026-03-18T22:54:10.680Z
sensor.153931628473058_total_energy_consumption,1348.4,2026-03-18T22:54:43.788Z
sensor.153931628473058_total_energy_consumption,1348.41,2026-03-18T22:55:17.081Z
sensor.153931628473058_total_energy_consumption,1348.42,2026-03-18T22:55:50.250Z
sensor.153931628473058_total_energy_consumption,1348.43,2026-03-18T22:56:23.546Z
sensor.153931628473058_total_energy_consumption,1348.44,2026-03-18T22:56:56.653Z
sensor.153931628473058_total_energy_consumption,1348.45,2026-03-18T22:57:31.384Z
sensor.153931628473058_total_energy_consumption,1348.46,2026-03-18T22:58:04.599Z
sensor.153931628473058_total_energy_consumption,1348.47,2026-03-18T22:58:37.884Z
sensor.153931628473058_total_energy_consumption,1348.48,2026-03-18T22:59:11.207Z
sensor.153931628473058_total_energy_consumption,1348.49,2026-03-18T22:59:44.381Z
sensor.153931628473058_total_energy_consumption,1348.51,2026-03-18T23:00:17.638Z
sensor.153931628473058_total_energy_consumption,1348.52,2026-03-18T23:00:50.856Z
sensor.153931628473058_total_energy_consumption,1348.53,2026-03-18T23:01:24.120Z
sensor.153931628473058_total_energy_consumption,1348.54,2026-03-18T23:01:57.429Z
sensor.153931628473058_total_energy_consumption,1348.55,2026-03-18T23:02:30.664Z
sensor.153931628473058_total_energy_consumption,1348.56,2026-03-18T23:03:03.879Z
sensor.153931628473058_total_energy_consumption,1348.57,2026-03-18T23:03:37.027Z
sensor.153931628473058_total_energy_consumption,1348.58,2026-03-18T23:04:10.224Z
sensor.153931628473058_total_energy_consumption,1348.59,2026-03-18T23:04:43.400Z
sensor.153931628473058_total_energy_consumption,1348.6,2026-03-18T23:05:16.730Z
sensor.153931628473058_total_energy_consumption,1348.62,2026-03-18T23:05:49.927Z
sensor.153931628473058_total_energy_consumption,1348.63,2026-03-18T23:06:23.213Z
sensor.153931628473058_total_energy_consumption,1348.64,2026-03-18T23:06:56.392Z
sensor.153931628473058_total_energy_consumption,1348.65,2026-03-18T23:07:29.669Z
sensor.153931628473058_total_energy_consumption,1348.66,2026-03-18T23:08:02.912Z
sensor.153931628473058_total_energy_consumption,1348.67,2026-03-18T23:08:37.032Z
sensor.153931628473058_total_energy_consumption,1348.68,2026-03-18T23:09:10.321Z
sensor.153931628473058_total_energy_consumption,1348.69,2026-03-18T23:09:43.541Z
sensor.153931628473058_total_energy_consumption,1348.7,2026-03-18T23:10:16.799Z
sensor.153931628473058_total_energy_consumption,1348.71,2026-03-18T23:10:50.106Z
sensor.153931628473058_total_energy_consumption,1348.73,2026-03-18T23:11:23.276Z
sensor.153931628473058_total_energy_consumption,1348.74,2026-03-18T23:11:56.492Z
sensor.153931628473058_total_energy_consumption,1348.75,2026-03-18T23:12:29.734Z
sensor.153931628473058_total_energy_consumption,1348.76,2026-03-18T23:13:02.944Z
sensor.153931628473058_total_energy_consumption,1348.77,2026-03-18T23:13:36.176Z
sensor.153931628473058_total_energy_consumption,1348.78,2026-03-18T23:14:09.370Z
sensor.153931628473058_total_energy_consumption,1348.79,2026-03-18T23:14:42.690Z
sensor.153931628473058_total_energy_consumption,1348.8,2026-03-18T23:15:15.930Z
sensor.153931628473058_total_energy_consumption,1348.81,2026-03-18T23:15:49.211Z
sensor.153931628473058_total_energy_consumption,1348.82,2026-03-18T23:16:22.571Z
sensor.153931628473058_total_energy_consumption,1348.83,2026-03-18T23:16:59.587Z
sensor.153931628473058_total_energy_consumption,1348.84,2026-03-19T02:14:56.142Z
sensor.153931628473058_total_energy_consumption,1348.85,2026-03-19T07:13:34.733Z
sensor.153931628473058_total_energy_consumption,1348.86,2026-03-19T11:16:58.641Z
sensor.153931628473058_total_energy_consumption,1348.87,2026-03-19T14:41:25.106Z
sensor.153931628473058_total_energy_consumption,1348.88,2026-03-19T19:21:25.210Z
sensor.153931628473058_total_energy_consumption,1348.89,2026-03-19T19:22:31.702Z
sensor.153931628473058_total_energy_consumption,1348.9,2026-03-19T19:23:04.888Z
sensor.153931628473058_total_energy_consumption,1348.91,2026-03-19T19:23:38.002Z
sensor.153931628473058_total_energy_consumption,1348.92,2026-03-19T19:24:11.194Z
sensor.153931628473058_total_energy_consumption,1348.93,2026-03-19T19:24:44.405Z
sensor.153931628473058_total_energy_consumption,1348.95,2026-03-19T19:25:17.669Z
sensor.153931628473058_total_energy_consumption,1348.96,2026-03-19T19:25:50.983Z
sensor.153931628473058_total_energy_consumption,1348.98,2026-03-19T19:26:24.239Z
sensor.153931628473058_total_energy_consumption,1348.99,2026-03-19T19:26:57.521Z
sensor.153931628473058_total_energy_consumption,1349.0,2026-03-19T19:27:30.750Z
sensor.153931628473058_total_energy_consumption,1349.02,2026-03-19T19:28:04.064Z
sensor.153931628473058_total_energy_consumption,1349.03,2026-03-19T19:28:37.423Z
sensor.153931628473058_total_energy_consumption,1349.05,2026-03-19T19:29:10.704Z
sensor.153931628473058_total_energy_consumption,1349.06,2026-03-19T19:29:43.855Z
sensor.153931628473058_total_energy_consumption,1349.07,2026-03-19T19:30:17.039Z
sensor.153931628473058_total_energy_consumption,1349.08,2026-03-19T19:30:50.368Z
sensor.153931628473058_total_energy_consumption,1349.1,2026-03-19T19:31:24.735Z
sensor.153931628473058_total_energy_consumption,1349.11,2026-03-19T19:31:58.913Z
sensor.153931628473058_total_energy_consumption,1349.12,2026-03-19T19:32:32.095Z
sensor.153931628473058_total_energy_consumption,1349.13,2026-03-19T19:33:05.420Z
sensor.153931628473058_total_energy_consumption,1349.14,2026-03-19T19:33:38.637Z
sensor.153931628473058_total_energy_consumption,1349.15,2026-03-19T19:34:11.924Z
sensor.153931628473058_total_energy_consumption,1349.16,2026-03-19T19:34:45.178Z
sensor.153931628473058_total_energy_consumption,1349.17,2026-03-19T19:35:18.517Z
sensor.153931628473058_total_energy_consumption,1349.19,2026-03-19T19:35:51.750Z
sensor.153931628473058_total_energy_consumption,1349.2,2026-03-19T19:36:25.171Z
sensor.153931628473058_total_energy_consumption,1349.21,2026-03-19T19:36:58.427Z
sensor.153931628473058_total_energy_consumption,1349.22,2026-03-19T19:37:31.629Z
sensor.153931628473058_total_energy_consumption,1349.23,2026-03-19T19:38:04.849Z
sensor.153931628473058_total_energy_consumption,1349.24,2026-03-19T19:38:38.091Z
sensor.153931628473058_total_energy_consumption,1349.25,2026-03-19T19:39:12.313Z
sensor.153931628473058_total_energy_consumption,1349.27,2026-03-19T19:39:45.487Z
sensor.153931628473058_total_energy_consumption,1349.28,2026-03-19T19:40:18.713Z
sensor.153931628473058_total_energy_consumption,1349.29,2026-03-19T19:40:51.900Z
sensor.153931628473058_total_energy_consumption,1349.3,2026-03-19T19:41:25.181Z
sensor.153931628473058_total_energy_consumption,1349.31,2026-03-19T19:41:58.403Z
sensor.153931628473058_total_energy_consumption,1349.32,2026-03-19T19:42:31.708Z
sensor.153931628473058_total_energy_consumption,1349.33,2026-03-19T19:43:04.911Z
sensor.153931628473058_total_energy_consumption,1349.34,2026-03-19T19:43:38.085Z
sensor.153931628473058_total_energy_consumption,1349.36,2026-03-19T19:44:11.698Z
sensor.153931628473058_total_energy_consumption,1349.37,2026-03-19T19:44:45.151Z
sensor.153931628473058_total_energy_consumption,1349.38,2026-03-19T19:45:18.444Z
sensor.153931628473058_total_energy_consumption,1349.39,2026-03-19T19:45:51.616Z
sensor.153931628473058_total_energy_consumption,1349.4,2026-03-19T19:46:24.877Z
sensor.153931628473058_total_energy_consumption,1349.41,2026-03-19T19:46:58.088Z
sensor.153931628473058_total_energy_consumption,1349.42,2026-03-19T19:47:31.322Z
sensor.153931628473058_total_energy_consumption,1349.44,2026-03-19T19:48:04.523Z
sensor.153931628473058_total_energy_consumption,1349.45,2026-03-19T19:48:37.925Z
sensor.153931628473058_total_energy_consumption,1349.46,2026-03-19T19:49:11.156Z
sensor.153931628473058_total_energy_consumption,1349.47,2026-03-19T19:49:44.935Z
sensor.153931628473058_total_energy_consumption,1349.48,2026-03-19T19:50:18.258Z
sensor.153931628473058_total_energy_consumption,1349.49,2026-03-19T19:50:51.670Z
sensor.153931628473058_total_energy_consumption,1349.5,2026-03-19T19:51:24.918Z
sensor.153931628473058_total_energy_consumption,1349.51,2026-03-19T19:51:58.191Z
sensor.153931628473058_total_energy_consumption,1349.53,2026-03-19T19:52:31.616Z
sensor.153931628473058_total_energy_consumption,1349.54,2026-03-19T19:53:05.000Z
